program,n_rotations,delta,tvd,detected
bmw_quark_cardinality_3,27,0.0,0.0,0
bmw_quark_cardinality_3,27,0.01,0.007477,0
bmw_quark_cardinality_3,27,0.02,0.015778,0
bmw_quark_cardinality_3,27,0.03,0.024963,0
bmw_quark_cardinality_3,27,0.05,0.044586,1
bmw_quark_cardinality_3,27,0.07,0.066467,1
bmw_quark_cardinality_3,27,0.1,0.102234,1
bmw_quark_cardinality_3,27,0.15,0.168427,1
bmw_quark_cardinality_3,27,0.2,0.231415,1
bmw_quark_cardinality_3,27,0.3,0.343384,1
bmw_quark_cardinality_3,27,0.5,0.435791,1
bmw_quark_cardinality_4,37,0.0,0.0,0
bmw_quark_cardinality_4,37,0.01,0.015045,0
bmw_quark_cardinality_4,37,0.02,0.029144,0
bmw_quark_cardinality_4,37,0.03,0.042053,0
bmw_quark_cardinality_4,37,0.05,0.07251,1
bmw_quark_cardinality_4,37,0.07,0.098846,1
bmw_quark_cardinality_4,37,0.1,0.138489,1
bmw_quark_cardinality_4,37,0.15,0.204224,1
bmw_quark_cardinality_4,37,0.2,0.274261,1
bmw_quark_cardinality_4,37,0.3,0.371857,1
bmw_quark_cardinality_4,37,0.5,0.535645,1
bmw_quark_cardinality_5,47,0.0,0.0,0
bmw_quark_cardinality_5,47,0.01,0.018127,0
bmw_quark_cardinality_5,47,0.02,0.032837,0
bmw_quark_cardinality_5,47,0.03,0.046143,0
bmw_quark_cardinality_5,47,0.05,0.075531,1
bmw_quark_cardinality_5,47,0.07,0.099426,1
bmw_quark_cardinality_5,47,0.1,0.134186,1
bmw_quark_cardinality_5,47,0.15,0.184448,1
bmw_quark_cardinality_5,47,0.2,0.228668,1
bmw_quark_cardinality_5,47,0.3,0.294159,1
bmw_quark_cardinality_5,47,0.5,0.352936,1
bmw_quark_cardinality_6,57,0.0,0.0,0
bmw_quark_cardinality_6,57,0.01,0.016174,0
bmw_quark_cardinality_6,57,0.02,0.027893,0
bmw_quark_cardinality_6,57,0.03,0.042023,0
bmw_quark_cardinality_6,57,0.05,0.065094,0
bmw_quark_cardinality_6,57,0.07,0.094055,1
bmw_quark_cardinality_6,57,0.1,0.137329,1
bmw_quark_cardinality_6,57,0.15,0.20694,1
bmw_quark_cardinality_6,57,0.2,0.278503,1
bmw_quark_cardinality_6,57,0.3,0.382965,1
bmw_quark_cardinality_6,57,0.5,0.570648,1
bmw_quark_cardinality_8,77,0.0,0.0,0
bmw_quark_cardinality_8,77,0.01,0.034637,0
bmw_quark_cardinality_8,77,0.02,0.052216,0
bmw_quark_cardinality_8,77,0.03,0.071503,0
bmw_quark_cardinality_8,77,0.05,0.110138,1
bmw_quark_cardinality_8,77,0.07,0.150482,1
bmw_quark_cardinality_8,77,0.1,0.208282,1
bmw_quark_cardinality_8,77,0.15,0.306183,1
bmw_quark_cardinality_8,77,0.2,0.38736,1
bmw_quark_cardinality_8,77,0.3,0.495178,1
bmw_quark_cardinality_8,77,0.5,0.589539,1
bmw_quark_copula_10,100,0.0,0.0,0
bmw_quark_copula_10,100,0.01,0.040192,0
bmw_quark_copula_10,100,0.02,0.065033,0
bmw_quark_copula_10,100,0.03,0.089966,0
bmw_quark_copula_10,100,0.05,0.135468,0
bmw_quark_copula_10,100,0.07,0.179474,1
bmw_quark_copula_10,100,0.1,0.243652,1
bmw_quark_copula_10,100,0.15,0.333618,1
bmw_quark_copula_10,100,0.2,0.401154,1
bmw_quark_copula_10,100,0.3,0.472534,1
bmw_quark_copula_10,100,0.5,0.476715,1
bmw_quark_copula_12,132,0.0,0.0,0
bmw_quark_copula_12,132,0.01,0.076538,0
bmw_quark_copula_12,132,0.02,0.112579,0
bmw_quark_copula_12,132,0.03,0.139404,0
bmw_quark_copula_12,132,0.05,0.190125,0
bmw_quark_copula_12,132,0.07,0.241577,0
bmw_quark_copula_12,132,0.1,0.311859,1
bmw_quark_copula_12,132,0.15,0.402008,1
bmw_quark_copula_12,132,0.2,0.462097,1
bmw_quark_copula_12,132,0.3,0.510071,1
bmw_quark_copula_12,132,0.5,0.514832,1
bmw_quark_copula_14,168,0.0,0.0,0
bmw_quark_copula_14,168,0.01,0.162415,0
bmw_quark_copula_14,168,0.02,0.227936,0
bmw_quark_copula_14,168,0.03,0.264099,0
bmw_quark_copula_14,168,0.05,0.323212,1
bmw_quark_copula_14,168,0.07,0.370728,1
bmw_quark_copula_14,168,0.1,0.428619,1
bmw_quark_copula_14,168,0.15,0.510803,1
bmw_quark_copula_14,168,0.2,0.55603,1
bmw_quark_copula_14,168,0.3,0.586273,1
bmw_quark_copula_14,168,0.5,0.590637,1
bmw_quark_copula_2,12,0.0,0.0,0
bmw_quark_copula_2,12,0.01,0.006775,0
bmw_quark_copula_2,12,0.02,0.014435,0
bmw_quark_copula_2,12,0.03,0.02066,0
bmw_quark_copula_2,12,0.05,0.034973,1
bmw_quark_copula_2,12,0.07,0.046326,1
bmw_quark_copula_2,12,0.1,0.062439,1
bmw_quark_copula_2,12,0.15,0.078156,1
bmw_quark_copula_2,12,0.2,0.08136,1
bmw_quark_copula_2,12,0.3,0.058533,1
bmw_quark_copula_2,12,0.5,0.041412,1
bmw_quark_copula_4,28,0.0,0.0,0
bmw_quark_copula_4,28,0.01,0.011353,0
bmw_quark_copula_4,28,0.02,0.024628,0
bmw_quark_copula_4,28,0.03,0.037323,0
bmw_quark_copula_4,28,0.05,0.060455,1
bmw_quark_copula_4,28,0.07,0.085327,1
bmw_quark_copula_4,28,0.1,0.125092,1
bmw_quark_copula_4,28,0.15,0.202118,1
bmw_quark_copula_4,28,0.2,0.28653,1
bmw_quark_copula_4,28,0.3,0.438293,1
bmw_quark_copula_4,28,0.5,0.452271,1
bmw_quark_copula_6,48,0.0,0.0,0
bmw_quark_copula_6,48,0.01,0.021149,0
bmw_quark_copula_6,48,0.02,0.039551,0
bmw_quark_copula_6,48,0.03,0.05954,0
bmw_quark_copula_6,48,0.05,0.10144,1
bmw_quark_copula_6,48,0.07,0.138641,1
bmw_quark_copula_6,48,0.1,0.185028,1
bmw_quark_copula_6,48,0.15,0.248138,1
bmw_quark_copula_6,48,0.2,0.307495,1
bmw_quark_copula_6,48,0.3,0.391968,1
bmw_quark_copula_6,48,0.5,0.413574,1
bmw_quark_copula_8,72,0.0,0.0,0
bmw_quark_copula_8,72,0.01,0.024902,0
bmw_quark_copula_8,72,0.02,0.047485,0
bmw_quark_copula_8,72,0.03,0.068512,0
bmw_quark_copula_8,72,0.05,0.111908,0
bmw_quark_copula_8,72,0.07,0.155579,0
bmw_quark_copula_8,72,0.1,0.215424,1
bmw_quark_copula_8,72,0.15,0.301453,1
bmw_quark_copula_8,72,0.2,0.37262,1
bmw_quark_copula_8,72,0.3,0.463287,1
bmw_quark_copula_8,72,0.5,0.462189,1
cdkm_ripple_carry_adder_10,56,0.0,0.0,0
cdkm_ripple_carry_adder_10,56,0.01,0.003174,1
cdkm_ripple_carry_adder_10,56,0.02,0.012787,1
cdkm_ripple_carry_adder_10,56,0.03,0.028809,1
cdkm_ripple_carry_adder_10,56,0.05,0.077393,1
cdkm_ripple_carry_adder_10,56,0.07,0.146149,1
cdkm_ripple_carry_adder_10,56,0.1,0.276337,1
cdkm_ripple_carry_adder_10,56,0.15,0.519928,1
cdkm_ripple_carry_adder_10,56,0.2,0.733093,1
cdkm_ripple_carry_adder_10,56,0.3,0.954865,1
cdkm_ripple_carry_adder_10,56,0.5,0.999939,1
cdkm_ripple_carry_adder_12,70,0.0,0.0,0
cdkm_ripple_carry_adder_12,70,0.01,0.003967,1
cdkm_ripple_carry_adder_12,70,0.02,0.016388,1
cdkm_ripple_carry_adder_12,70,0.03,0.035126,1
cdkm_ripple_carry_adder_12,70,0.05,0.095123,1
cdkm_ripple_carry_adder_12,70,0.07,0.180542,1
cdkm_ripple_carry_adder_12,70,0.1,0.331665,1
cdkm_ripple_carry_adder_12,70,0.15,0.599915,1
cdkm_ripple_carry_adder_12,70,0.2,0.809204,1
cdkm_ripple_carry_adder_12,70,0.3,0.979004,1
cdkm_ripple_carry_adder_12,70,0.5,1.0,1
cdkm_ripple_carry_adder_4,14,0.0,0.0,0
cdkm_ripple_carry_adder_4,14,0.01,0.000946,0
cdkm_ripple_carry_adder_4,14,0.02,0.003174,1
cdkm_ripple_carry_adder_4,14,0.03,0.006866,1
cdkm_ripple_carry_adder_4,14,0.05,0.020294,1
cdkm_ripple_carry_adder_4,14,0.07,0.038666,1
cdkm_ripple_carry_adder_4,14,0.1,0.077789,1
cdkm_ripple_carry_adder_4,14,0.15,0.169067,1
cdkm_ripple_carry_adder_4,14,0.2,0.281586,1
cdkm_ripple_carry_adder_4,14,0.3,0.537598,1
cdkm_ripple_carry_adder_4,14,0.5,0.916718,1
cdkm_ripple_carry_adder_6,28,0.0,0.0,0
cdkm_ripple_carry_adder_6,28,0.01,0.00174,1
cdkm_ripple_carry_adder_6,28,0.02,0.006104,1
cdkm_ripple_carry_adder_6,28,0.03,0.014587,1
cdkm_ripple_carry_adder_6,28,0.05,0.039551,1
cdkm_ripple_carry_adder_6,28,0.07,0.075867,1
cdkm_ripple_carry_adder_6,28,0.1,0.149658,1
cdkm_ripple_carry_adder_6,28,0.15,0.306824,1
cdkm_ripple_carry_adder_6,28,0.2,0.483124,1
cdkm_ripple_carry_adder_6,28,0.3,0.786224,1
cdkm_ripple_carry_adder_6,28,0.5,0.993591,1
