program,n_rotations,delta,tvd,detected
hrs_cumulative_multiplier_5,30,0.02,0.006104,1
hrs_cumulative_multiplier_5,30,0.03,0.014557,1
hrs_cumulative_multiplier_5,30,0.05,0.039093,1
hrs_cumulative_multiplier_5,30,0.07,0.07486,1
hrs_cumulative_multiplier_5,30,0.1,0.144897,1
hrs_cumulative_multiplier_5,30,0.15,0.28537,1
hrs_cumulative_multiplier_5,30,0.2,0.416748,1
hrs_cumulative_multiplier_5,30,0.3,0.517517,1
hrs_cumulative_multiplier_5,30,0.5,0.075867,1
modular_adder_10,32,0.0,0.0,0
modular_adder_10,32,0.01,0.003174,1
modular_adder_10,32,0.02,0.012787,1
modular_adder_10,32,0.03,0.028809,1
modular_adder_10,32,0.05,0.077393,1
modular_adder_10,32,0.07,0.146149,1
modular_adder_10,32,0.1,0.276337,1
modular_adder_10,32,0.15,0.519928,1
modular_adder_10,32,0.2,0.733093,1
modular_adder_10,32,0.3,0.954865,1
modular_adder_10,32,0.5,0.999939,1
modular_adder_12,40,0.0,0.0,0
modular_adder_12,40,0.01,0.003967,1
modular_adder_12,40,0.02,0.016388,1
modular_adder_12,40,0.03,0.035126,1
modular_adder_12,40,0.05,0.095123,1
modular_adder_12,40,0.07,0.180542,1
modular_adder_12,40,0.1,0.331665,1
modular_adder_12,40,0.15,0.599915,1
modular_adder_12,40,0.2,0.809204,1
modular_adder_12,40,0.3,0.979004,1
modular_adder_12,40,0.5,1.0,1
modular_adder_4,8,0.0,0.0,0
modular_adder_4,8,0.01,0.000946,0
modular_adder_4,8,0.02,0.003174,1
modular_adder_4,8,0.03,0.006866,1
modular_adder_4,8,0.05,0.020294,1
modular_adder_4,8,0.07,0.038666,1
modular_adder_4,8,0.1,0.077789,1
modular_adder_4,8,0.15,0.169067,1
modular_adder_4,8,0.2,0.281586,1
modular_adder_4,8,0.3,0.537598,1
modular_adder_4,8,0.5,0.916718,1
modular_adder_6,16,0.0,0.0,0
modular_adder_6,16,0.01,0.00174,1
modular_adder_6,16,0.02,0.006104,1
modular_adder_6,16,0.03,0.014587,1
modular_adder_6,16,0.05,0.039551,1
modular_adder_6,16,0.07,0.075867,1
modular_adder_6,16,0.1,0.149658,1
modular_adder_6,16,0.15,0.306824,1
modular_adder_6,16,0.2,0.483124,1
modular_adder_6,16,0.3,0.786224,1
modular_adder_6,16,0.5,0.993591,1
modular_adder_8,24,0.0,0.0,0
modular_adder_8,24,0.01,0.00238,1
modular_adder_8,24,0.02,0.009766,1
modular_adder_8,24,0.03,0.021423,1
modular_adder_8,24,0.05,0.058472,1
modular_adder_8,24,0.07,0.111206,1
modular_adder_8,24,0.1,0.217377,1
modular_adder_8,24,0.15,0.42276,1
modular_adder_8,24,0.2,0.627563,1
modular_adder_8,24,0.3,0.902161,1
modular_adder_8,24,0.5,0.99939,1
multiplier_12,354,0.0,0.0,0
multiplier_12,354,0.01,0.179688,1
multiplier_12,354,0.02,0.549713,1
multiplier_12,354,0.03,0.842285,1
multiplier_12,354,0.05,0.997314,1
multiplier_12,354,0.07,1.0,1
multiplier_12,354,0.1,1.0,1
multiplier_12,354,0.15,0.704346,1
multiplier_12,354,0.2,0.730957,1
multiplier_12,354,0.3,0.996307,1
multiplier_12,354,0.5,0.673859,1
multiplier_4,14,0.0,0.0,0
multiplier_4,14,0.01,0.000946,0
multiplier_4,14,0.02,0.003174,1
multiplier_4,14,0.03,0.006866,1
multiplier_4,14,0.05,0.020294,1
multiplier_4,14,0.07,0.038666,1
multiplier_4,14,0.1,0.077789,1
multiplier_4,14,0.15,0.169067,1
multiplier_4,14,0.2,0.281586,1
multiplier_4,14,0.3,0.537598,1
multiplier_4,14,0.5,0.916718,1
multiplier_8,108,0.0,0.0,0
multiplier_8,108,0.01,0.025513,1
multiplier_8,108,0.02,0.097321,1
multiplier_8,108,0.03,0.210236,1
multiplier_8,108,0.05,0.483124,1
multiplier_8,108,0.07,0.73584,1
multiplier_8,108,0.1,0.945709,1
multiplier_8,108,0.15,0.999664,1
multiplier_8,108,0.2,1.0,1
multiplier_8,108,0.3,0.914276,1
multiplier_8,108,0.5,0.96701,1
qaoa_10,72,0.0,0.0,0
qaoa_10,72,0.01,0.074036,0
qaoa_10,72,0.02,0.093048,0
qaoa_10,72,0.03,0.105438,1
qaoa_10,72,0.05,0.136719,1
qaoa_10,72,0.07,0.176178,1
qaoa_10,72,0.1,0.248474,1
qaoa_10,72,0.15,0.366516,1
qaoa_10,72,0.2,0.46347,1
qaoa_10,72,0.3,0.580444,1
qaoa_10,72,0.5,0.476288,1
qaoa_12,96,0.0,0.0,0
qaoa_12,96,0.01,0.154694,1
qaoa_12,96,0.02,0.165619,1
qaoa_12,96,0.03,0.174042,1
qaoa_12,96,0.05,0.208527,1
qaoa_12,96,0.07,0.245728,1
qaoa_12,96,0.1,0.309479,1
qaoa_12,96,0.15,0.423096,1
qaoa_12,96,0.2,0.518372,1
qaoa_12,96,0.3,0.630981,1
qaoa_12,96,0.5,0.52124,1
qaoa_2,6,0.0,0.0,0
qaoa_2,6,0.01,0.004456,0
qaoa_2,6,0.02,0.009186,0
qaoa_2,6,0.03,0.014374,0
qaoa_2,6,0.05,0.024963,1
qaoa_2,6,0.07,0.03653,1
qaoa_2,6,0.1,0.055908,1
qaoa_2,6,0.15,0.092865,1
qaoa_2,6,0.2,0.131683,1
qaoa_2,6,0.3,0.210602,1
qaoa_2,6,0.5,0.331116,1
qaoa_3,10,0.0,0.0,0
qaoa_3,10,0.01,0.009064,0
qaoa_3,10,0.02,0.018127,0
qaoa_3,10,0.03,0.025818,0
qaoa_3,10,0.05,0.041992,1
qaoa_3,10,0.07,0.056488,1
qaoa_3,10,0.1,0.076874,1
qaoa_3,10,0.15,0.108826,1
qaoa_3,10,0.2,0.13681,1
qaoa_3,10,0.3,0.17569,1
qaoa_3,10,0.5,0.198792,1
qaoa_4,12,0.0,0.0,0
qaoa_4,12,0.01,0.008881,0
qaoa_4,12,0.02,0.017944,0
qaoa_4,12,0.03,0.02652,0
qaoa_4,12,0.05,0.041077,0
qaoa_4,12,0.07,0.056091,1
qaoa_4,12,0.1,0.077881,1
qaoa_4,12,0.15,0.110229,1
qaoa_4,12,0.2,0.13623,1
qaoa_4,12,0.3,0.178925,1
qaoa_4,12,0.5,0.201416,1
qaoa_5,22,0.0,0.0,0
qaoa_5,22,0.01,0.019348,0
qaoa_5,22,0.02,0.036774,0
qaoa_5,22,0.03,0.056244,0
qaoa_5,22,0.05,0.092621,1
qaoa_5,22,0.07,0.134827,1
qaoa_5,22,0.1,0.193451,1
qaoa_5,22,0.15,0.296051,1
qaoa_5,22,0.2,0.382965,1
qaoa_5,22,0.3,0.48703,1
qaoa_5,22,0.5,0.439697,1
qaoa_6,26,0.0,0.0,0
qaoa_6,26,0.01,0.020538,0
qaoa_6,26,0.02,0.038452,0
qaoa_6,26,0.03,0.056122,0
qaoa_6,26,0.05,0.093109,0
qaoa_6,26,0.07,0.129181,1
qaoa_6,26,0.1,0.177979,1
qaoa_6,26,0.15,0.252533,1
qaoa_6,26,0.2,0.309875,1
qaoa_6,26,0.3,0.372314,1
qaoa_6,26,0.5,0.363556,1
qaoa_8,44,0.0,0.0,0
qaoa_8,44,0.01,0.03595,0
qaoa_8,44,0.02,0.053833,0
qaoa_8,44,0.03,0.0737,0
qaoa_8,44,0.05,0.114197,0
qaoa_8,44,0.07,0.148682,0
qaoa_8,44,0.1,0.210175,1
qaoa_8,44,0.15,0.312225,1
qaoa_8,44,0.2,0.39978,1
qaoa_8,44,0.3,0.50061,1
qaoa_8,44,0.5,0.416168,1
qft_10,45,0.0,0.0,0
qft_10,45,0.01,0.0,0
qft_10,45,0.02,0.0,0
qft_10,45,0.03,0.0,0
qft_10,45,0.05,0.0,0
qft_10,45,0.07,0.0,0
qft_10,45,0.1,0.0,0
qft_10,45,0.15,0.0,0
qft_10,45,0.2,0.0,0
qft_10,45,0.3,0.0,0
qft_10,45,0.5,0.0,0
qft_12,66,0.0,0.0,0
qft_12,66,0.01,0.0,0
qft_12,66,0.02,0.0,0
qft_12,66,0.03,0.0,0
qft_12,66,0.05,0.0,0
qft_12,66,0.07,0.0,0
qft_12,66,0.1,0.0,0
qft_12,66,0.15,0.0,0
qft_12,66,0.2,0.0,0
qft_12,66,0.3,0.0,0
qft_12,66,0.5,0.0,0
qft_2,1,0.0,0.0,0
qft_2,1,0.01,0.0,0
qft_2,1,0.02,0.0,0
qft_2,1,0.03,0.0,0
qft_2,1,0.05,0.0,0
qft_2,1,0.07,0.0,0
qft_2,1,0.1,0.0,0
qft_2,1,0.15,0.0,0
qft_2,1,0.2,0.0,0
qft_2,1,0.3,0.0,0
qft_2,1,0.5,0.0,0
qft_3,3,0.0,0.0,0
qft_3,3,0.01,0.0,0
qft_3,3,0.02,0.0,0
qft_3,3,0.03,0.0,0
qft_3,3,0.05,0.0,0
qft_3,3,0.07,0.0,0
qft_3,3,0.1,0.0,0
qft_3,3,0.15,0.0,0
qft_3,3,0.2,0.0,0
qft_3,3,0.3,0.0,0
qft_3,3,0.5,0.0,0
qft_4,6,0.0,0.0,0
qft_4,6,0.01,0.0,0
qft_4,6,0.02,0.0,0
qft_4,6,0.03,0.0,0
qft_4,6,0.05,0.0,0
qft_4,6,0.07,0.0,0
qft_4,6,0.1,0.0,0
qft_4,6,0.15,0.0,0
qft_4,6,0.2,0.0,0
qft_4,6,0.3,0.0,0
qft_4,6,0.5,0.0,0
qft_5,10,0.0,0.0,0
qft_5,10,0.01,0.0,0
qft_5,10,0.02,0.0,0
qft_5,10,0.03,0.0,0
qft_5,10,0.05,0.0,0
qft_5,10,0.07,0.0,0
qft_5,10,0.1,0.0,0
qft_5,10,0.15,0.0,0
qft_5,10,0.2,0.0,0
qft_5,10,0.3,0.0,0
qft_5,10,0.5,0.0,0
qft_6,15,0.0,0.0,0
qft_6,15,0.01,0.0,0
qft_6,15,0.02,0.0,0
qft_6,15,0.03,0.0,0
qft_6,15,0.05,0.0,0
qft_6,15,0.07,0.0,0
qft_6,15,0.1,0.0,0
qft_6,15,0.15,0.0,0
qft_6,15,0.2,0.0,0
qft_6,15,0.3,0.0,0
qft_6,15,0.5,0.0,0
qft_8,28,0.0,0.0,0
qft_8,28,0.01,0.0,0
qft_8,28,0.02,0.0,0
qft_8,28,0.03,0.0,0
qft_8,28,0.05,0.0,0
qft_8,28,0.07,0.0,0
qft_8,28,0.1,0.0,0
qft_8,28,0.15,0.0,0
qft_8,28,0.2,0.0,0
qft_8,28,0.3,0.0,0
qft_8,28,0.5,0.0,0
qftentangled_10,45,0.0,0.0,0
qftentangled_10,45,0.01,0.109314,0
qftentangled_10,45,0.02,0.165741,1
qftentangled_10,45,0.03,0.228027,1
qftentangled_10,45,0.05,0.345062,1
qftentangled_10,45,0.07,0.442383,1
qftentangled_10,45,0.1,0.528748,1
qftentangled_10,45,0.15,0.519012,1
qftentangled_10,45,0.2,0.430664,1
qftentangled_10,45,0.3,0.416595,1
qftentangled_10,45,0.5,0.419189,1
qftentangled_12,66,0.0,0.0,0
qftentangled_12,66,0.01,0.203857,1
qftentangled_12,66,0.02,0.271271,1
qftentangled_12,66,0.03,0.347168,1
qftentangled_12,66,0.05,0.483124,1
qftentangled_12,66,0.07,0.561554,1
qftentangled_12,66,0.1,0.563049,1
qftentangled_12,66,0.15,0.439423,1
qftentangled_12,66,0.2,0.437531,1
qftentangled_12,66,0.3,0.448364,1
qftentangled_12,66,0.5,0.454468,1
qftentangled_2,1,0.0,0.0,0
qftentangled_2,1,0.01,0.002106,0
qftentangled_2,1,0.02,0.004425,0
qftentangled_2,1,0.03,0.00705,0
qftentangled_2,1,0.05,0.011719,0
qftentangled_2,1,0.07,0.017059,0
qftentangled_2,1,0.1,0.024292,1
qftentangled_2,1,0.15,0.036407,1
qftentangled_2,1,0.2,0.049377,1
qftentangled_2,1,0.3,0.073944,1
qftentangled_2,1,0.5,0.121429,1
qftentangled_3,3,0.0,0.0,0
qftentangled_3,3,0.01,0.006226,0
qftentangled_3,3,0.02,0.010895,0
qftentangled_3,3,0.03,0.016357,0
qftentangled_3,3,0.05,0.027374,0
qftentangled_3,3,0.07,0.039062,1
qftentangled_3,3,0.1,0.056702,1
qftentangled_3,3,0.15,0.085083,1
qftentangled_3,3,0.2,0.114471,1
qftentangled_3,3,0.3,0.170563,1
qftentangled_3,3,0.5,0.262482,1
qftentangled_4,6,0.0,0.0,0
qftentangled_4,6,0.01,0.010223,0
qftentangled_4,6,0.02,0.02063,0
qftentangled_4,6,0.03,0.031769,0
qftentangled_4,6,0.05,0.054504,1
qftentangled_4,6,0.07,0.075928,1
qftentangled_4,6,0.1,0.107025,1
qftentangled_4,6,0.15,0.15863,1
qftentangled_4,6,0.2,0.206116,1
qftentangled_4,6,0.3,0.288696,1
qftentangled_4,6,0.5,0.371277,1
qftentangled_5,10,0.0,0.0,0
qftentangled_5,10,0.01,0.017944,0
qftentangled_5,10,0.02,0.033173,0
qftentangled_5,10,0.03,0.050537,0
qftentangled_5,10,0.05,0.086548,1
qftentangled_5,10,0.07,0.119659,1
qftentangled_5,10,0.1,0.168213,1
qftentangled_5,10,0.15,0.241089,1
qftentangled_5,10,0.2,0.307587,1
qftentangled_5,10,0.3,0.38916,1
qftentangled_5,10,0.5,0.449463,1
qftentangled_6,15,0.0,0.0,0
qftentangled_6,15,0.01,0.027344,0
qftentangled_6,15,0.02,0.050507,0
qftentangled_6,15,0.03,0.075287,0
qftentangled_6,15,0.05,0.125702,1
qftentangled_6,15,0.07,0.172119,1
qftentangled_6,15,0.1,0.237518,1
qftentangled_6,15,0.15,0.334747,1
qftentangled_6,15,0.2,0.404541,1
qftentangled_6,15,0.3,0.479523,1
qftentangled_6,15,0.5,0.419189,1
qftentangled_8,28,0.0,0.0,0
qftentangled_8,28,0.01,0.056488,0
qftentangled_8,28,0.02,0.096191,0
qftentangled_8,28,0.03,0.139435,0
qftentangled_8,28,0.05,0.222565,1
qftentangled_8,28,0.07,0.300415,1
qftentangled_8,28,0.1,0.397308,1
qftentangled_8,28,0.15,0.500122,1
qftentangled_8,28,0.2,0.517578,1
qftentangled_8,28,0.3,0.425995,1
qftentangled_8,28,0.5,0.413696,1
qnn_10,40,0.0,0.0,0
qnn_10,40,0.01,0.046967,0
qnn_10,40,0.02,0.059235,0
qnn_10,40,0.03,0.071747,0
qnn_10,40,0.05,0.101166,1
qnn_10,40,0.07,0.135376,1
qnn_10,40,0.1,0.183502,1
qnn_10,40,0.15,0.273041,1
qnn_10,40,0.2,0.358856,1
qnn_10,40,0.3,0.510071,1
qnn_10,40,0.5,0.740509,1
qnn_12,48,0.0,0.0,0
qnn_12,48,0.01,0.08844,1
qnn_12,48,0.02,0.100494,1
qnn_12,48,0.03,0.11557,1
qnn_12,48,0.05,0.142395,1
qnn_12,48,0.07,0.170563,1
qnn_12,48,0.1,0.226715,1
qnn_12,48,0.15,0.311615,1
qnn_12,48,0.2,0.398712,1
qnn_12,48,0.3,0.540497,1
qnn_12,48,0.5,0.726807,1
qnn_2,8,0.0,0.0,0
qnn_2,8,0.01,0.01123,0
qnn_2,8,0.02,0.022736,0
qnn_2,8,0.03,0.034332,1
qnn_2,8,0.05,0.058899,1
qnn_2,8,0.07,0.081726,1
qnn_2,8,0.1,0.113464,1
qnn_2,8,0.15,0.16568,1
qnn_2,8,0.2,0.214783,1
qnn_2,8,0.3,0.30484,1
qnn_2,8,0.5,0.418854,1
qnn_3,12,0.0,0.0,0
qnn_3,12,0.01,0.00412,0
qnn_3,12,0.02,0.008728,0
qnn_3,12,0.03,0.013153,0
qnn_3,12,0.05,0.021179,0
qnn_3,12,0.07,0.029785,1
qnn_3,12,0.1,0.040802,1
qnn_3,12,0.15,0.05777,1
qnn_3,12,0.2,0.071228,1
qnn_3,12,0.3,0.08725,1
qnn_3,12,0.5,0.132477,1
qnn_4,16,0.0,0.0,0
qnn_4,16,0.01,0.009918,0
qnn_4,16,0.02,0.018036,0
qnn_4,16,0.03,0.026154,0
qnn_4,16,0.05,0.040924,0
qnn_4,16,0.07,0.053467,0
qnn_4,16,0.1,0.076721,1
qnn_4,16,0.15,0.11441,1
qnn_4,16,0.2,0.151733,1
qnn_4,16,0.3,0.263275,1
qnn_4,16,0.5,0.514648,1
qnn_5,20,0.0,0.0,0
qnn_5,20,0.01,0.012268,0
qnn_5,20,0.02,0.026123,0
qnn_5,20,0.03,0.037567,0
qnn_5,20,0.05,0.06311,1
qnn_5,20,0.07,0.086761,1
qnn_5,20,0.1,0.128693,1
qnn_5,20,0.15,0.206146,1
qnn_5,20,0.2,0.28363,1
qnn_5,20,0.3,0.437317,1
qnn_5,20,0.5,0.653748,1
qnn_6,24,0.0,0.0,0
qnn_6,24,0.01,0.019928,0
qnn_6,24,0.02,0.033417,0
qnn_6,24,0.03,0.044861,0
qnn_6,24,0.05,0.071442,0
qnn_6,24,0.07,0.100189,1
qnn_6,24,0.1,0.139496,1
qnn_6,24,0.15,0.213837,1
qnn_6,24,0.2,0.282257,1
qnn_6,24,0.3,0.388245,1
qnn_6,24,0.5,0.538116,1
qnn_8,32,0.0,0.0,0
qnn_8,32,0.01,0.027802,0
qnn_8,32,0.02,0.036774,0
qnn_8,32,0.03,0.052063,0
qnn_8,32,0.05,0.078064,1
qnn_8,32,0.07,0.10556,1
qnn_8,32,0.1,0.147247,1
qnn_8,32,0.15,0.223175,1
qnn_8,32,0.2,0.292786,1
qnn_8,32,0.3,0.403748,1
qnn_8,32,0.5,0.557617,1
qpeexact_10,43,0.0,0.0,0
qpeexact_10,43,0.01,0.001129,0
qpeexact_10,43,0.02,0.003845,1
qpeexact_10,43,0.03,0.008118,1
qpeexact_10,43,0.05,0.024139,1
qpeexact_10,43,0.07,0.047363,1
qpeexact_10,43,0.1,0.094269,1
qpeexact_10,43,0.15,0.201385,1
qpeexact_10,43,0.2,0.333557,1
qpeexact_10,43,0.3,0.603424,1
qpeexact_10,43,0.5,0.934052,1
qpeexact_12,65,0.0,0.0,0
qpeexact_12,65,0.01,0.002197,1
qpeexact_12,65,0.02,0.008026,1
qpeexact_12,65,0.03,0.019135,1
qpeexact_12,65,0.05,0.053284,1
qpeexact_12,65,0.07,0.101593,1
qpeexact_12,65,0.1,0.196411,1
qpeexact_12,65,0.15,0.392944,1
qpeexact_12,65,0.2,0.591309,1
qpeexact_12,65,0.3,0.873199,1
qpeexact_12,65,0.5,0.998291,1
qpeexact_2,1,0.0,0.0,0
qpeexact_2,1,0.01,0.0,0
qpeexact_2,1,0.02,0.000122,0
qpeexact_2,1,0.03,0.000244,0
qpeexact_2,1,0.05,0.00061,0
qpeexact_2,1,0.07,0.001068,1
qpeexact_2,1,0.1,0.002106,1
qpeexact_2,1,0.15,0.004761,1
qpeexact_2,1,0.2,0.009399,1
qpeexact_2,1,0.3,0.021942,1
qpeexact_2,1,0.5,0.059174,1
qpeexact_3,2,0.0,0.0,0
qpeexact_3,2,0.01,0.0,0
qpeexact_3,2,0.02,0.000122,0
qpeexact_3,2,0.03,0.000244,0
qpeexact_3,2,0.05,0.00061,0
qpeexact_3,2,0.07,0.001068,1
qpeexact_3,2,0.1,0.002106,1
qpeexact_3,2,0.15,0.004761,1
qpeexact_3,2,0.2,0.009399,1
qpeexact_3,2,0.3,0.021942,1
qpeexact_3,2,0.5,0.059174,1
qpeexact_4,4,0.0,0.0,0
qpeexact_4,4,0.01,0.0,0
qpeexact_4,4,0.02,0.000122,0
qpeexact_4,4,0.03,0.000244,0
qpeexact_4,4,0.05,0.00061,0
qpeexact_4,4,0.07,0.001068,1
qpeexact_4,4,0.1,0.002106,1
qpeexact_4,4,0.15,0.004761,1
qpeexact_4,4,0.2,0.009399,1
qpeexact_4,4,0.3,0.021942,1
qpeexact_4,4,0.5,0.059174,1
qpeexact_5,10,0.0,0.0,0
qpeexact_5,10,0.01,0.000397,0
qpeexact_5,10,0.02,0.001373,0
qpeexact_5,10,0.03,0.002747,1
qpeexact_5,10,0.05,0.007263,1
qpeexact_5,10,0.07,0.014404,1
qpeexact_5,10,0.1,0.031006,1
qpeexact_5,10,0.15,0.070343,1
qpeexact_5,10,0.2,0.122162,1
qpeexact_5,10,0.3,0.256927,1
qpeexact_5,10,0.5,0.570679,1
qpeexact_6,14,0.0,0.0,0
qpeexact_6,14,0.01,0.000397,0
qpeexact_6,14,0.02,0.001373,0
qpeexact_6,14,0.03,0.002747,1
qpeexact_6,14,0.05,0.007263,1
qpeexact_6,14,0.07,0.014404,1
qpeexact_6,14,0.1,0.031006,1
qpeexact_6,14,0.15,0.070343,1
qpeexact_6,14,0.2,0.122162,1
qpeexact_6,14,0.3,0.256927,1
qpeexact_6,14,0.5,0.570679,1
qpeexact_8,28,0.0,0.0,0
qpeexact_8,28,0.01,0.001129,0
qpeexact_8,28,0.02,0.003845,1
qpeexact_8,28,0.03,0.008118,1
qpeexact_8,28,0.05,0.024139,1
qpeexact_8,28,0.07,0.047363,1
qpeexact_8,28,0.1,0.094269,1
qpeexact_8,28,0.15,0.201385,1
qpeexact_8,28,0.2,0.333557,1
qpeexact_8,28,0.3,0.603424,1
qpeexact_8,28,0.5,0.934052,1
qpeinexact_10,45,0.0,0.0,0
qpeinexact_10,45,0.01,0.021179,0
qpeinexact_10,45,0.02,0.038239,1
qpeinexact_10,45,0.03,0.054169,1
qpeinexact_10,45,0.05,0.086517,1
qpeinexact_10,45,0.07,0.120667,1
qpeinexact_10,45,0.1,0.169495,1
qpeinexact_10,45,0.15,0.279541,1
qpeinexact_10,45,0.2,0.437286,1
qpeinexact_10,45,0.3,0.737488,1
qpeinexact_10,45,0.5,0.97168,1
qpeinexact_12,66,0.0,0.0,0
qpeinexact_12,66,0.01,0.023438,0
qpeinexact_12,66,0.02,0.042542,1
qpeinexact_12,66,0.03,0.058655,1
qpeinexact_12,66,0.05,0.095551,1
qpeinexact_12,66,0.07,0.132263,1
qpeinexact_12,66,0.1,0.189636,1
qpeinexact_12,66,0.15,0.358734,1
qpeinexact_12,66,0.2,0.539032,1
qpeinexact_12,66,0.3,0.822998,1
qpeinexact_12,66,0.5,0.989532,1
qpeinexact_2,1,0.0,0.0,0
qpeinexact_2,1,0.01,0.004639,0
qpeinexact_2,1,0.02,0.009552,0
qpeinexact_2,1,0.03,0.014801,0
qpeinexact_2,1,0.05,0.024811,1
qpeinexact_2,1,0.07,0.035004,1
qpeinexact_2,1,0.1,0.0495,1
qpeinexact_2,1,0.15,0.073669,1
qpeinexact_2,1,0.2,0.098389,1
qpeinexact_2,1,0.3,0.14563,1
qpeinexact_2,1,0.5,0.239319,1
qpeinexact_3,3,0.0,0.0,0
qpeinexact_3,3,0.01,0.008026,0
qpeinexact_3,3,0.02,0.017242,0
qpeinexact_3,3,0.03,0.026276,0
qpeinexact_3,3,0.05,0.043915,1
qpeinexact_3,3,0.07,0.061127,1
qpeinexact_3,3,0.1,0.087585,1
qpeinexact_3,3,0.15,0.130585,1
qpeinexact_3,3,0.2,0.173523,1
qpeinexact_3,3,0.3,0.254486,1
qpeinexact_3,3,0.5,0.382812,1
qpeinexact_4,6,0.0,0.0,0
qpeinexact_4,6,0.01,0.011536,0
qpeinexact_4,6,0.02,0.0224,0
qpeinexact_4,6,0.03,0.033936,0
qpeinexact_4,6,0.05,0.055847,1
qpeinexact_4,6,0.07,0.076477,1
qpeinexact_4,6,0.1,0.108063,1
qpeinexact_4,6,0.15,0.157318,1
qpeinexact_4,6,0.2,0.203949,1
qpeinexact_4,6,0.3,0.274902,1
qpeinexact_4,6,0.5,0.360168,1
qpeinexact_5,10,0.0,0.0,0
qpeinexact_5,10,0.01,0.013733,0
qpeinexact_5,10,0.02,0.026794,0
qpeinexact_5,10,0.03,0.039093,0
qpeinexact_5,10,0.05,0.06366,1
qpeinexact_5,10,0.07,0.086273,1
qpeinexact_5,10,0.1,0.121887,1
qpeinexact_5,10,0.15,0.17276,1
qpeinexact_5,10,0.2,0.216949,1
qpeinexact_5,10,0.3,0.292511,1
qpeinexact_5,10,0.5,0.391876,1
qpeinexact_6,15,0.0,0.0,0
qpeinexact_6,15,0.01,0.016876,0
qpeinexact_6,15,0.02,0.034241,0
qpeinexact_6,15,0.03,0.050934,0
qpeinexact_6,15,0.05,0.08252,1
qpeinexact_6,15,0.07,0.116974,1
qpeinexact_6,15,0.1,0.164001,1
qpeinexact_6,15,0.15,0.239838,1
qpeinexact_6,15,0.2,0.30899,1
qpeinexact_6,15,0.3,0.427216,1
qpeinexact_6,15,0.5,0.789246,1
qpeinexact_8,28,0.0,0.0,0
qpeinexact_8,28,0.01,0.02124,0
qpeinexact_8,28,0.02,0.04007,1
qpeinexact_8,28,0.03,0.058777,1
qpeinexact_8,28,0.05,0.094482,1
qpeinexact_8,28,0.07,0.133881,1
qpeinexact_8,28,0.1,0.192719,1
qpeinexact_8,28,0.15,0.342163,1
qpeinexact_8,28,0.2,0.520569,1
qpeinexact_8,28,0.3,0.804596,1
qpeinexact_8,28,0.5,0.967773,1
qwalk_10,144,0.0,0.0,0
qwalk_10,144,0.01,0.013611,1
qwalk_10,144,0.02,0.055237,1
qwalk_10,144,0.03,0.120789,1
qwalk_10,144,0.05,0.303406,1
qwalk_10,144,0.07,0.514801,1
qwalk_10,144,0.1,0.779724,1
qwalk_10,144,0.15,0.843842,1
qwalk_10,144,0.2,0.799805,1
qwalk_10,144,0.3,0.863312,1
qwalk_10,144,0.5,0.828796,1
qwalk_12,144,0.0,0.0,0
qwalk_12,144,0.01,0.013611,1
qwalk_12,144,0.02,0.055237,1
qwalk_12,144,0.03,0.120789,1
qwalk_12,144,0.05,0.303406,1
qwalk_12,144,0.07,0.514801,1
qwalk_12,144,0.1,0.779724,1
qwalk_12,144,0.15,0.843842,1
qwalk_12,144,0.2,0.799805,1
qwalk_12,144,0.3,0.863312,1
qwalk_12,144,0.5,0.828796,1
qwalk_3,42,0.0,0.0,0
qwalk_3,42,0.01,0.001648,1
qwalk_3,42,0.02,0.005646,1
qwalk_3,42,0.03,0.014038,1
qwalk_3,42,0.05,0.03952,1
qwalk_3,42,0.07,0.077362,1
qwalk_3,42,0.1,0.150818,1
qwalk_3,42,0.15,0.319794,1
qwalk_3,42,0.2,0.51236,1
qwalk_3,42,0.3,0.870117,1
qwalk_3,42,0.5,0.827301,1
qwalk_4,90,0.0,0.0,0
qwalk_4,90,0.01,0.002747,0
qwalk_4,90,0.02,0.011505,1
qwalk_4,90,0.03,0.025604,1
qwalk_4,90,0.05,0.06723,1
qwalk_4,90,0.07,0.130585,1
qwalk_4,90,0.1,0.2435,1
qwalk_4,90,0.15,0.45697,1
qwalk_4,90,0.2,0.639099,1
qwalk_4,90,0.3,0.770233,1
qwalk_4,90,0.5,0.768341,1
qwalk_5,144,0.0,0.0,0
qwalk_5,144,0.01,0.01889,1
qwalk_5,144,0.02,0.073547,1
qwalk_5,144,0.03,0.160217,1
qwalk_5,144,0.05,0.387512,1
qwalk_5,144,0.07,0.63266,1
qwalk_5,144,0.1,0.885315,1
qwalk_5,144,0.15,0.835724,1
qwalk_5,144,0.2,0.768585,1
qwalk_5,144,0.3,0.849915,1
qwalk_5,144,0.5,0.648895,1
qwalk_6,144,0.0,0.0,0
qwalk_6,144,0.01,0.013611,1
qwalk_6,144,0.02,0.055237,1
qwalk_6,144,0.03,0.120789,1
qwalk_6,144,0.05,0.303406,1
qwalk_6,144,0.07,0.514801,1
qwalk_6,144,0.1,0.779724,1
qwalk_6,144,0.15,0.843842,1
qwalk_6,144,0.2,0.799805,1
qwalk_6,144,0.3,0.863312,1
qwalk_6,144,0.5,0.828796,1
qwalk_8,144,0.0,0.0,0
qwalk_8,144,0.01,0.013611,1
qwalk_8,144,0.02,0.055237,1
qwalk_8,144,0.03,0.120789,1
