axis,theta,drift,tvd,detected
rx,1.4,0.003,0.001587,0
rx,1.4,0.005,0.00235,0
rx,1.4,0.007,0.003357,0
rx,1.4,0.009,0.004639,0
rx,1.4,0.012,0.00589,0
rx,1.4,0.016,0.008942,0
rx,1.4,0.02,0.009583,0
rx,1.4,0.025,0.012421,0
rx,1.4,0.03,0.014587,0
rx,1.4,0.035,0.016937,0
rx,1.4,0.04,0.018585,0
rx,1.4,0.045,0.022125,0
rx,1.4,0.05,0.024048,1
rx,1.4,0.06,0.030304,1
rx,1.4,0.07,0.034454,1
rx,1.4,0.085,0.041412,1
rx,1.75,0.001,0.000305,0
rx,1.75,0.003,0.001831,0
rx,1.75,0.005,0.00238,0
rx,1.75,0.007,0.003723,0
rx,1.75,0.009,0.00351,0
rx,1.75,0.012,0.006165,0
rx,1.75,0.016,0.007843,0
rx,1.75,0.02,0.009064,0
rx,1.75,0.025,0.011505,0
rx,1.75,0.03,0.015656,0
rx,1.75,0.035,0.01767,0
rx,1.75,0.04,0.019592,0
rx,1.75,0.045,0.022339,1
rx,1.75,0.05,0.025055,1
rx,1.75,0.06,0.028992,1
rx,1.75,0.07,0.035034,1
rx,1.75,0.085,0.040436,1
rx,2.1,0.001,0.000427,0
rx,2.1,0.003,0.001343,0
rx,2.1,0.005,0.002136,0
rx,2.1,0.007,0.003143,0
rx,2.1,0.009,0.004852,0
rx,2.1,0.012,0.005676,0
rx,2.1,0.016,0.00705,0
rx,2.1,0.02,0.008606,0
rx,2.1,0.025,0.01062,0
rx,2.1,0.03,0.012268,0
rx,2.1,0.035,0.01358,0
rx,2.1,0.04,0.017029,0
rx,2.1,0.045,0.017975,1
rx,2.1,0.05,0.022034,1
rx,2.1,0.06,0.025299,1
rx,2.1,0.07,0.029327,1
rx,2.1,0.085,0.035309,1
